"","baker.season.episode","X","baker","signature","technical.rank","showstopper","episode","signatuare.name","technical.name","showstopper.name","season","result","status"
"128","Christine_4_7",198,"Christine","Spotted Dick 'With a Kick'and Vanilla Custard Ice Cream","6th","Eccles CakesFresh Fruit BasketsLemon Cream Eton Mess Mille-feuille",7,"Suet Pudding ","8 Religieuses ","36 sweet puff pastries  12 Filled  12 Iced  12 of Their Own Choice ",4,"","Least Favorite"
"129","Christine_4_8",204,"Christine","Multi-Seeded Loaf with Pumpkin, Sesame and Sunflower Seeds","5th","Sweet Potato Guitar with Passion Fruit Icing and Marshmallow Fondant",8,"Wheat Free Loaf ","Hazelnut Dacquoise ","Dairy Free Vegetable Cake ",4,"OUT",""
"130","Claire_5_1",216,"Claire","Chocolatey Orangey Swiss Roll","8th","Mini Chocolate and Cherry Cakes",1,"Swiss Roll ","Cherry Cake ","36 Classic Miniature British Cakes ",5,"OUT",""
"131","Crystelle_12_1",746,"Crystelle","'Chai and Chai Again' Mini Rolls","8th","'Bouq-cake of Flowers'",1,"Mini Swiss Roll ","Malt Loaf ","Anti Gravity Illusion Cake ",12,"","Favorite"
"132","Crystelle_12_10",817,"Crystelle","Pistachio, Cardamom & Orange Carrot Cake","1st","Crazy Tea Party",10,"Carrot Cake ","12 Belgian Buns ","Mad Hatter Tea Party Display ",12,"Runner-up",""
"133","Crystelle_12_2",758,"Crystelle","’Apple of My P-eye' Brandy Snaps","10th","Vanity Playset",2,"24 Brandy Snaps ","Sandwiched Jammy Biscuit ","3 D Childhood Toy ",12,"",""
"134","Crystelle_12_3",769,"Crystelle","Feta & Grape Focaccia with Fennel & Walnut","9th","'Bready' for Sunday Roast",3,"Focaccia ","15 Cheese and Onion Ciabatta Breadsticks ","Themed Milk Bread Display ",12,"",""
"135","Crystelle_12_4",779,"Crystelle","'Kiwi Lime Pie' Pam-lova","5th","'Una Piña Colada, Por Favor'",4,"Pavlova ","4 Sticky Toffee Pudding ","Joconde Imprime Dessert ",12,"",""
"136","Crystelle_12_5",788,"Crystelle","Chocolate Engelsaugen & Pistachio Heidesanda","7th","Bavarian Brioche",5,"24 German Biscuits ","Prinzregententorte ","Yeast Leavened Cake ",12,"","Favorite"
"137","Crystelle_12_6",796,"Crystelle","Mango Maracujá & Miso Caramel Chouxnuts","2nd","'Lily Nana's Pickle Cottage'",6," Chouxnuts ","Large Baklava ","Terrine pie ",12,"SB",""
"138","Crystelle_12_7",802,"Crystelle","Apple, Pecan & Miso Caramel Tart","4th","'Grandad Greg's Cactus Garden'",7,"Caramel Tart ","10 Caramel Biscuit Bars ","Domed or Sphered Caramel Dessert ",12,"","Favorite"
"139","Crystelle_12_8",808,"Crystelle","Tahini & Miso Coffee Ice Cream Sandwiches","5th","'My Nana's Cascading Dress' Gluten-free Cake",8,"8 Dairy free Iced Cream Sandwiches ","8 Vegan Sausage Rolls ","Gluten free Celebration Cake ",12,"","Least Favorite"
"140","Crystelle_12_9",813,"Crystelle","Yuzu, Coconut & Black Sesame Slices","3rd","'Tropical Wedding' Entremets",9,"8 Pâtisserie Style Layered Slices ","Sablé Breton Tart ","Themed Banquet Display ",12,"SB",""
"141","Dan_10_1",592,"Dan","Jamaican Rum Cake","9th","Pirate Island Cake",1,"Fruit Cake ","6 Angel Cake Slices ","Birthday Cake ",10,"OUT",""
"142","Dan_9_1",515,"Dan","Lemon and Strawberry Shrewsburys","4th","""New Dad in Palm Springs""",1,"24 Regional Biscuits ","8 Wagon Wheels ","3D Biscuit Self Portrait ",9,"",""
"143","Dan_9_2",527,"Dan","Black Forest Slice","3rd","Dark Chocolate and Raspberry Birthday Cake",2,"16 Traybakes ","Le Gâteau Vert ","Chocolate Collar Cake ",9,"","Favorite"
"144","Dan_9_3",538,"Dan","Sticky Spiced Orange Chelsea Buns","6th","Wedding Korovai",3,"12 Chelsea Buns ","8 Non Yeasted Garlic Naan Breads ","Korovai ",9,"","Favorite"
"145","Dan_9_4",547,"Dan","Florida Roulade","1st","Dan and the Giant Peach",4,"Meringue Roulade ","Raspberry Blancmange with 12 Langues du Chat biscuits ","Melting Chocolate Ball Dessert ",9,"SB",""
"146","Dan_9_5",556,"Dan","Ginger and Lemon Drip Cake","2nd","Birthday Kaleidoscope for Constance",5,"Ginger Cake ","12 Ma amoul ","Spiced Biscuit Chandelier ",9,"",""
"147","Dan_9_6",565,"Dan","Festive Samosas","6th","Salmon Coulibiac",6,"12 Samosas ","6 Puits D amour ","Shaped Banquet Pie ",9,"OUT",""
"148","Danny_3_1",63,"Danny","Plum, Ginger & Orange Upside Down Cake","7th","Nectar Cake with Hidden Beehive[13]",1,"Upside Down Cake ","4 Rum Babas ","Hidden Design Cake ",3,"",""
"149","Danny_3_2",75,"Danny","Lime Coriander and Coconut TortillasZaatar Naan with Dukkah","3rd","",2,"2 Flatbreads  6 Leavened and 6 Unleavened ","Eight Stranded Plaited Loaf ","4 Bagels  12 Sweet and 12 Savoury ",3,"",""
"150","Danny_3_3",86,"Danny","Savoury Pear and Roquefort Tarte Tatin","2nd","Pineapple, Coconut and Frangipane Tart",3,"Tarte Tatin ","Treacle Tart ","Designer Fruit Tart ",3,"",""
"151","Danny_3_4",96,"Danny","Blackberry, White Chocolate, Lemon and Elderflower Torte","2nd","'Monte Bianco' Chestnut, Chocolate and Coffee Dacquoise",4,"Torte Cake ","Crème Caramel ","4 Layered Meringue Dessert ",3,"","Favorite"
"152","Danny_3_5",105,"Danny","Chickpea, Spinach & Mushroom Wellington","7th","Trick or Treat Pumpkin Pie",5,"Wellington ","Hand Raised Pie ","American Pie ",3,"","Least Favorite"
"153","Danny_3_6",113,"Danny","Banoffee Puddings with Walnut Butterscotch SauceJubilee Chocolate Fondants","2nd","Leek, Potato, Pistachio and Gruyère Strudel",6,"2 Different Flavours of Sponge Puddings ","Queen of Puddings ","Strudels ",3,"","Favorite"
"154","Danny_3_7",120,"Danny","Bakewell Chelsea Buns","2nd","European Christmas Wreath",7,"24 Sweet Buns ","Jam Doughnut ","Celebratory Loaf ",3,"SB",""
"155","Danny_3_8",127,"Danny","Spiced Almond Drinks Crackers","4th","Gingerbread Big Ben",8,"48 Crackers ","6 Chocolate Teacakes ","Gingerbread Structure ",3,"","Least Favorite"
"156","Danny_3_9",131,"Danny","Blackberry and Peppermint MacaronsMiniature Raspberry and Basil FinanciersOrange and White Chocolate Langues de Chat","4th","Rosewater and Lychee Gateau St. Honoré",9,"3 types of Petits Fours ","Fraisier Cake ","Choux Pastry Gateau ",3,"OUT",""
"157","Dave_11_1",669,"Dave","Chocolate Espresso Martini Battenberg Cake","9th","Three Flavours of Tom DeLonge",1,"Battenberg Cake ","6 Miniature Pineapple Upside Down Cakes ","Celebrity Hero Cake Bust ",11,"",""
"158","Dave_11_10",741,"Dave","'Caramel Latte' Custard Slice","1st","Tower to Redemption",10,"8 Custard Slices ","8 Walnut Whirls ","Colossal Dessert Tower ",11,"Runner-up",""
"159","Dave_11_2",681,"Dave","Feathered Chocolate Mango Florentines","1st","'Waiting for Tacos'",2,"36 Chocolate Florentines ","12 Hand Shaped Coconut Macaroons ","3D Biscuit Table Setting ",11,"SB",""
"160","Dave_11_3",692,"Dave","Chilli Chocolate & Cheesy Bacon Soda Bread","9th","'Grateful For My Home and Little Family'",3,"2 Soda Bread Loaves ","6 Rainbow coloured Bagels ","Large Bread Plaque ",11,"","Least Favorite"
"161","Dave_11_4",702,"Dave","Honeycomb Explosion Brownies","8th","Strawberry Splash White Chocolate Fraisier Cake",4,"18 Chocolate Brownies ","Chocolate Babka ","White Chocolate Celebration Cake ",11,"",""
"162","Dave_11_5",711,"Dave","Thai Basil Chicken Pasties","5th","Chocolate, Mango and Lime Tart",5,"8 Pasties ","3 Raspberry Éclairs    3 Salted Caramel Éclairs ","Caged Tart ",11,"","Favorite"
"163","Dave_11_6",719,"Dave","Chicken Shaped Katsu Curry Buns","3rd","Matcha Shiba Inu Cake",6,"8 Steamed Buns ","Matcha Crepe Cake ","Kawaii Cake ",11,"","Favorite"
"164","Dave_11_7",726,"Dave","Novel Quiches","6th","'Tiramisu'",7,"8 Quiches ","6 Custard   Jam Finger Doughnuts ","Ice Cream Cake ",11,"",""
"165","Dave_11_8",732,"Dave","'Celebration of Citrus' Cheesecakes","5th","Newquay Beach Scene",8,"12 Mini Cheesecakes ","2 Sussex Pond Puddings ","Jelly Art Design Cake ",11,"",""
"166","Dave_11_9",737,"Dave","Honey Tequila, Passion Fruit & Mango Savarins","3rd","Celebration of Chocolate Cube Cake",9,"12 Pâte à Savarin ","Danish Kransekake Cornucopia Cake ","25 Mini Cube shaped Cakes ",11,"","Favorite"
"167","David_10_1",591,"David","Squishy Squashy Fruit Cake","10th","Snakey Birthday Cakey",1,"Fruit Cake ","6 Angel Cake Slices ","Birthday Cake ",10,"",""
"168","David_10_10",667,"David","Chocolate, Armagnac and Prune Cake","1st","Peachy Pic-Nik",10,"Ultimate Chocolate Cake ","6 Stilton Soufflés ","Illusion Picnic Basket Feast ",10,"WINNER",""
"169","David_10_2",604,"David","Coco-nutty Chocolate Bars","2nd","Wedding Spray",2,"12 Decorated Chocolate Biscuit Bars ","12 Fig Rolls ","3D Biscuit Sculpture ",10,"","Favorite"
"170","David_10_3",616,"David","Cinnamon Swirl Tear & Share","2nd","Trio of African Masks",3,"Tear   Share Loaf ","8 White Burger Baps   4 Veggie Burgers ","Decorative Loaf Display ",10,"",""
"171","David_10_4",626,"David","A Kick of Limoncello Cake","2nd","Flavours of India Mishti",4,"Cultured Dairy Cake ","12 Maids of Honour ","Display of Mishti ",10,"","Favorite"
"172","David_10_5",636,"David","Fancy Custards","9th","Amaretto Sour Cake",5,"4 Custard Pies ","18 Beignet Soufflés ","Prohibition Era Cake ",10,"","Favorite"
"173","David_10_6",645,"David","Spiced Meringue Surprise","2nd","Delightful Bombe",6,"Layered Meringue Cake ","6 Verrines ","Celebratory Bombe ",10,"",""
"174","David_10_7",652,"David","Kozunak Plaits","2nd","Sarawak Style Layer Cake Sculpture",7,"24 Festival Buns ","12 Sicilian Cassatelles ","Kek Lapis Sarawak ",10,"","Favorite"
"175","David_10_8",658,"David","Caramelly Carroty Tarte Tatin","1st","Whitby Fish Pie",8,"Savoury Tarte Tatin ","Moroccan Pie ","Vertical Pie ",10,"","Favorite"
"176","David_10_9",663,"David","Aperitif Domed Tarts","2nd","Greenhouse Growing Moss",9,"8 Domed Tarts ","Gâteau Saint Honoré ","Sugar Glass Display Case ",10,"","Least Favorite"
"177","Deborah_4_1",140,"Deborah","Pineapple Cake","9th","'Coffee Time'",1,"Sandwich Cake ","Angel Food Cake ","Chocolate Cake ",4,"",""
"178","Deborah_4_2",153,"Deborah","Fennel & Chilli Breadsticks","8th","Walnut Fleur Loaf",2,"36 Bread Sticks ","8 English Muffins ","Decorative Loaf ",4,"",""
"179","Deborah_4_3",165,"Deborah","Tropical Trifle*","9th","Canelé Cherry and Chocolate CakesRose Cookies",3,"Trifle ","Floating Islands ","24 Petit Fours  12 Biscuit based  12 Sponge based ",4,"OUT",""
"180","Diana_5_1",217,"Diana","Mum's Sunday Tea Lemon Curd Swiss Roll","5th","Chocolate Ganache Surprises",1,"Swiss Roll ","Cherry Cake ","36 Classic Miniature British Cakes ",5,"",""
"181","Diana_5_2",228,"Diana","Parmesan Triangles","7th","Express, First Class",2,"36 Savoury Biscuits ","18 Florentines ","3D Biscuit Scene ",5,"",""
"182","Diana_5_3",239,"Diana","Rustic Picnic Rolls","7th","Sharing Savoury Pinwheel",3,"12 Rye Bread Rolls ","4 Ciabattas ","Filled Centrepiece Loaf ",5,"",""
"183","Diana_5_4",249,"Diana","Orange and Lemon Curd Pots","9th","Raspberry Ripple Alaska Swan",4,"8 Self Saucing Puddings ","Tiramisu Cake ","Baked Alaska ",5,"",""
"184","Dorret_6_1",289,"Dorret","Madeira Cake with Candied Lemons","5th","Enchanted Forest Gâteau",1,"Madeira Cake ","Frosted Walnut Layer Cake ","Black Forest Gâteau ",6,"","Least Favorite"
"185","Dorret_6_2",301,"Dorret","Almond and Apricot Biscotti with Amber Sugar Crystals","1st","Box of Frogs",2,"24 Biscotti ","8 Arlettes ","36 Biscuits and an Edible Biscuit Box ",6,"","Least Favorite"
"186","Dorret_6_3",312,"Dorret","Walnut and Stilton Soda Breads","6th","Unmade Bread",3,"2 Quick Breads ","4 Baguettes ","3D Bread Sculpture ",6,"OUT",""
"187","Enwezor_5_1",218,"Enwezor","Raspberry and Lemon Swiss Roll","9th","Coffee and Walnut Battenberg Squares",1,"Swiss Roll ","Cherry Cake ","36 Classic Miniature British Cakes ",5,"",""
"188","Enwezor_5_2",229,"Enwezor","Pumpkin and Sunflower Seed Savoury Biscuits","9th","Space Adventure Moon Scene",2,"36 Savoury Biscuits ","18 Florentines ","3D Biscuit Scene ",5,"OUT",""
"189","Flo_8_1",439,"Flo","Citrus Layer Cake","9th","'One in a Melon' Cake",1,"Fruity Cake ","12 Chocolate Mini Rolls ","Illusion Cake ",8,"","Favorite"
"190","Flo_8_2",451,"Flo","Gin Jam Butties","10th","'Pick My Bones' Game",2,"24 Sandwich Biscuits ","12 Fortune Cookies ","Biscuit Board Games ",8,"","Least Favorite"
"191","Flo_8_3",461,"Flo","Cinnamon and Orange Teacakes","7th","'Davy Jones' Locker' Bread Sculpture",3,"12 Teacakes ","Cottage Loaf ","Multicoloured Bread Sculpture ",8,"OUT",""
"192","Flora_6_1",290,"Flora","Blood Orange Madeira Cake","6th","Black Forest Gâteau",1,"Madeira Cake ","Frosted Walnut Layer Cake ","Black Forest Gâteau ",6,"","Favorite"
"193","Flora_6_2",302,"Flora","Wedding Biscotti","2nd","Honey and Earl Grey Tea Box",2,"24 Biscotti ","8 Arlettes ","36 Biscuits and an Edible Biscuit Box ",6,"",""
"194","Flora_6_3",313,"Flora","Fig and Hazelnut Rye Breads","2nd","Herb Couture",3,"2 Quick Breads ","4 Baguettes ","3D Bread Sculpture ",6,"",""
"195","Flora_6_4",322,"Flora","Rhubarb and Ginger Crème Brûlées","3rd","Elderflower and Granola Cheesecakes",4,"12 Crème Brûlées ","Spanische Windtorte ","Three Tiered Cheesecake ",6,"",""
"196","Flora_6_5",331,"Flora","Pistachio, Apple and Cardamom Madeleine Cake","3rd","Chocolate and Pear Bûche",5,"Sugar Free Cake ","12 Gluten Free Pita Bread ","Dairy Free Ice Cream Roll ",6,"","Least Favorite"
"197","Flora_6_6",339,"Flora","Apricot and Rosemary Frangipane Tart","2nd","Asparagus and Parma Ham and Praline and Chocolate Vol-au-vents",6,"Frangipane tart ","12 Flaounes ","48 Vol au vents ",6,"","Favorite"
"198","Flora_6_7",345,"Flora","Game Pie with Shallot and Apple Chutney","4th","Raspberry, Pomegranate and Champagne Charlotte Russe",7,"Raised Game Pie ","Tennis Cake ","Charlotte Russe ",6,"",""
"199","Flora_6_8",351,"Flora","Peach & Lemon Thyme and Smoked Almond & Butterscotch Cream Horns","3rd","Lime & Basil and Coconut & White Chocolate Religieuse à l'ancienne",8,"24 Cream Horns ","9 Mokatines ","Religieuse à l ancienne ",6,"","Least Favorite"
"200","Flora_6_9",356,"Flora","Passion Fruit and Chocolate Tart","1st","Cocoa Carousel",9,"Chocolate Tart ","Chocolate Soufflé ","Chocolate Centrepieces ",6,"OUT",""
"201","Frances_4_1",141,"Frances","Giant Jam Sandwich","7th","Secret Squirrel Cake",1,"Sandwich Cake ","Angel Food Cake ","Chocolate Cake ",4,"","Favorite"
"202","Frances_4_10",212,"Frances","Rainbow Picnic Pie","3rd","Midsummer Night's Dream Wedding Cake",10,"Picnic pie ","12 Pretzel   6 Savory  6 Sweet ","Three Tiered Wedding Cake ",4,"WINNER",""
"203","Frances_4_2",154,"Frances","Giant Matchsticks","2nd","Sailor's Knot",2,"36 Bread Sticks ","8 English Muffins ","Decorative Loaf ",4,"",""
"204","Frances_4_3",166,"Frances","Apple and Blackberry Crumble Trifle","8th","'Ballet Bites' Ginger NutcrackersSugar Plum Fairy Cakes",3,"Trifle ","Floating Islands ","24 Petit Fours  12 Biscuit based  12 Sponge based ",4,"","Favorite"
"205","Frances_4_4",176,"Frances","Peach Pie In the Sky","1st","Cherry Tree Baklava Filo Pie",4,"Double Crusted Fruit Pie ","12 Egg Custard Tarts ","Filo Pie ",4,"",""
"206","Frances_4_5",184,"Frances","Millionaire Banoffee Bonus","3rd","Biscuit Buttons and Beads",5,"Traybake ","18 Tuiles  9 Original  9 Dipped in Chocolate ","Biscuit Tower ",4,"",""
"207","Frances_4_6",192,"Frances","Chai Tea Loaf","2nd","Hot Cross BriochesRhubarb and Custard Kolaches",6,"Tea Loaf ","Apricot Couronne ","24 Sweet European Buns ",4,"","Favorite"
"208","Frances_4_7",199,"Frances","Figgy Roll-y Poly Puddingwith Caramelised Walnut and Honey Ice-Cream","5th","French Framboise Cream HornsSheet Music Mille-feuilleBass Clef Palmiers",7,"Suet Pudding ","8 Religieuses ","36 sweet puff pastries  12 Filled  12 Iced  12 of Their Own Choice ",4,"SB",""
"209","Frances_4_8",205,"Frances","'Chelsea Flour Show' Bun Bouquet","3rd","Hidden Carrot Cake",8,"Wheat Free Loaf ","Hazelnut Dacquoise ","Dairy Free Vegetable Cake ",4,"","Least Favorite"
"210","Frances_4_9",209,"Frances","Légume Canapés
(Chantenay Carrots, Choux Pastry Tomatoes, and Cauliflower Cheese Scones)","2nd","Great British Soap Opera Cake",9,"36 Canapés  12 Choux  12 Shortcrust Rough Puff  12 Any of their Choice ","Charlotte Royale ","Opera Cake ",4,"","Favorite"
"211","Freya_12_1",747,"Freya","Vegan Lemon & Raspberry Mini Rolls","2nd","'Flower Potty'",1,"Mini Swiss Roll ","Malt Loaf ","Anti Gravity Illusion Cake ",12,"",""
"212","Freya_12_2",759,"Freya","'Brandy Snapuccinos'","3rd","Winnie",2,"24 Brandy Snaps ","Sandwiched Jammy Biscuit ","3 D Childhood Toy ",12,"",""
"213","Freya_12_3",770,"Freya","Mexican Fajita Focaccia","4th","'Under the Sea' Milk Bread Display",3,"Focaccia ","15 Cheese and Onion Ciabatta Breadsticks ","Themed Milk Bread Display ",12,"","Favorite"
"214","Freya_12_4",780,"Freya","Peach Melba Vegan Pavlova","6th","Chocolate & Orange Imprime Dessert",4,"Pavlova ","4 Sticky Toffee Pudding ","Joconde Imprime Dessert ",12,"","Least Favorite"
"215","Freya_12_5",789,"Freya","Lebkuchen & Zimtsterne","5th","Upside-Down Cake",5,"24 German Biscuits ","Prinzregententorte ","Yeast Leavened Cake ",12,"OUT",""
"216","George_12_1",748,"George","Chocolate & Hazelnut Mini Rolls","3rd","Greek Table",1,"Mini Swiss Roll ","Malt Loaf ","Anti Gravity Illusion Cake ",12,"","Least Favorite"
"217","George_12_2",760,"George","Cypriot Brandy Snaps","8th","Paul and Prue Airlines",2,"24 Brandy Snaps ","Sandwiched Jammy Biscuit ","3 D Childhood Toy ",12,"","Favorite"
"218","George_12_3",771,"George","Greek Inspired Focaccia","7th","'The Very Hungry Koala'",3,"Focaccia ","15 Cheese and Onion Ciabatta Breadsticks ","Themed Milk Bread Display ",12,"",""
"219","George_12_4",781,"George","Lemon Curd & Biscuit Cream Pavlova","7th","Peanut Butter & Chocolate Imprime Dessert",4,"Pavlova ","4 Sticky Toffee Pudding ","Joconde Imprime Dessert ",12,"",""
"220","George_12_5",790,"George","Cherry Marzipan Biscuits & Aniseed Spingerle","6th","Chocolate & Tahini Anniversary Cake",5,"24 German Biscuits ","Prinzregententorte ","Yeast Leavened Cake ",12,"","Least Favorite"
"221","George_12_6",797,"George","Classic Chouxnuts","6th","'Christmas Dinner'",6," Chouxnuts ","Large Baklava ","Terrine pie ",12,"","Least Favorite"
"222","George_12_7",803,"George","Caramel Custard & Banana Tart","6th","Salted Caramel Almond & Hazelnut Dacquoise",7,"Caramel Tart ","10 Caramel Biscuit Bars ","Domed or Sphered Caramel Dessert ",12,"OUT",""
"223","Giuseppe_12_1",749,"Giuseppe","Easter Mini Rolls","10th","'Jack and the Beanstalk'",1,"Mini Swiss Roll ","Malt Loaf ","Anti Gravity Illusion Cake ",12,"","Favorite"
"224","Giuseppe_12_10",818,"Giuseppe","'Torta Camilla'","3rd","'What Is the Hatter with Me'",10,"Carrot Cake ","12 Belgian Buns ","Mad Hatter Tea Party Display ",12,"WINNER",""
"225","Giuseppe_12_2",761,"Giuseppe","Gianduja Snaps","2nd","Reversi Board Game",2,"24 Brandy Snaps ","Sandwiched Jammy Biscuit ","3 D Childhood Toy ",12,"","Favorite"
"226","Giuseppe_12_3",772,"Giuseppe","'Breakfast in Gaeta' Focaccia","1st","'Your Five-a-Day'",3,"Focaccia ","15 Cheese and Onion Ciabatta Breadsticks ","Themed Milk Bread Display ",12,"SB",""
"227","Giuseppe_12_4",782,"Giuseppe","'Every Day at the Beach' Pavlova","4th","Red Fruit & Pistachio Imprime Dessert",4,"Pavlova ","4 Sticky Toffee Pudding ","Joconde Imprime Dessert ",12,"","Favorite"
"228","Giuseppe_12_5",791,"Giuseppe","Bethmännchen and Italian Linzer Augen","1st","Amarena Cherry Cake",5,"24 German Biscuits ","Prinzregententorte ","Yeast Leavened Cake ",12,"SB",""
"229","Giuseppe_12_6",798,"Giuseppe","Bellissima Chouxnuts","4th","'Laura's Terrine Pie'",6," Chouxnuts ","Large Baklava ","Terrine pie ",12,"","Favorite"
"230","Giuseppe_12_7",804,"Giuseppe","Apricot & Hazelnut Caramel Tart","1st","Salted Caramel & Praline Dessert",7,"Caramel Tart ","10 Caramel Biscuit Bars ","Domed or Sphered Caramel Dessert ",12,"","Favorite"
"231","Giuseppe_12_8",809,"Giuseppe","Ginger & Orange Ice Cream Sandwich","2nd","Gluten-free Black Forest Cake",8,"8 Dairy free Iced Cream Sandwiches ","8 Vegan Sausage Rolls ","Gluten free Celebration Cake ",12,"",""
"232","Giuseppe_12_9",814,"Giuseppe","Tiramisu Slices","2nd","'Leaning Tower of Pisa'",9,"8 Pâtisserie Style Layered Slices ","Sablé Breton Tart ","Themed Banquet Display ",12,"","Least Favorite"
"233","Glenn_4_1",142,"Glenn","Strawberries and Cream Cake","4th","Almond and Espresso Chocolate Cake",1,"Sandwich Cake ","Angel Food Cake ","Chocolate Cake ",4,"",""
"234","Glenn_4_2",155,"Glenn","Rosemary and Parmesan Grissini","7th","Harvest Crown",2,"36 Bread Sticks ","8 English Muffins ","Decorative Loaf ",4,"",""
"235","Glenn_4_3",167,"Glenn","Raspberry and Almond Trifle","1st","Billionaire BouchéesOrange Financiers",3,"Trifle ","Floating Islands ","24 Petit Fours  12 Biscuit based  12 Sponge based ",4,"",""
"236","Glenn_4_4",177,"Glenn","Apple & Maple Syrup Pie","9th","Spanakopita",4,"Double Crusted Fruit Pie ","12 Egg Custard Tarts ","Filo Pie ",4,"","Least Favorite"
"237","Glenn_4_5",185,"Glenn","Apricot and Pistachio Tiffin","2nd","Shortbread and Macaron Helter-Skelter",5,"Traybake ","18 Tuiles  9 Original  9 Dipped in Chocolate ","Biscuit Tower ",4,"","Favorite"
"238","Glenn_4_6",193,"Glenn","Devonshire Panettone","5th","Almond and Apricot BriochesSticky Caramel Kanelbullen",6,"Tea Loaf ","Apricot Couronne ","24 Sweet European Buns ",4,"","Least Favorite"
"239","Glenn_4_7",200,"Glenn","Prune and Armagnac Puddingwith Boozy Butterscotch Sauce","3rd","Caramelised Apple and Marzipan TartletsChocolate Elephant EarsPassion Fruit Mille-feuille",7,"Suet Pudding ","8 Religieuses ","36 sweet puff pastries  12 Filled  12 Iced  12 of Their Own Choice ",4,"OUT",""
"240","Helena_10_1",593,"Helena","Fruit Bat Cake","12th","Away with the Fairies Cake",1,"Fruit Cake ","6 Angel Cake Slices ","Birthday Cake ",10,"",""
"241","Helena_10_2",605,"Helena","Wicked Witch Fingers","12th","Caught in a Spider's Web",2,"12 Decorated Chocolate Biscuit Bars ","12 Fig Rolls ","3D Biscuit Sculpture ",10,"",""
"242","Helena_10_3",617,"Helena","Frosted Cinnamon and Pecan Tear & Share","8th","Every Bread is Halloween",3,"Tear   Share Loaf ","8 White Burger Baps   4 Veggie Burgers ","Decorative Loaf Display ",10,"",""
"243","Helena_10_4",627,"Helena","Ghost Cake","9th","Ye Olde English Sweet Shoppe Mishti",4,"Cultured Dairy Cake ","12 Maids of Honour ","Display of Mishti ",10,"",""
"244","Helena_10_5",637,"Helena","Lemon and Lavender Pies","1st","Vampire's Kiss Raspberry Vodka Cake",5,"4 Custard Pies ","18 Beignet Soufflés ","Prohibition Era Cake ",10,"OUT",""
"245","Henry_10_1",594,"Henry","Wood Street Cake","1st","Secret Woodland Cake",1,"Fruit Cake ","6 Angel Cake Slices ","Birthday Cake ",10,"",""
"246","Henry_10_2",606,"Henry","Coffee, Cardamom & Hazelnut Bars","6th","Chapel Organ",2,"12 Decorated Chocolate Biscuit Bars ","12 Fig Rolls ","3D Biscuit Sculpture ",10,"",""
"247","Henry_10_3",618,"Henry","Chicken and Pesto Tear & Share","1st","Herb Garden",3,"Tear   Share Loaf ","8 White Burger Baps   4 Veggie Burgers ","Decorative Loaf Display ",10,"","Least Favorite"
"248","Henry_10_4",628,"Henry","Ode to a German Breakfast Cake","3rd","Seaside Mishti",4,"Cultured Dairy Cake ","12 Maids of Honour ","Display of Mishti ",10,"",""
"249","Henry_10_5",638,"Henry","1920s Pies","3rd","White Russian Cake",5,"4 Custard Pies ","18 Beignet Soufflés ","Prohibition Era Cake ",10,"","Favorite"
"250","Henry_10_6",646,"Henry","Towering Meringue Cake","4th","Bonfire Bombe",6,"Layered Meringue Cake ","6 Verrines ","Celebratory Bombe ",10,"","Least Favorite"
"251","Henry_10_7",653,"Henry","Chocolate Kardemummabullar","3rd","Elegant Present Box",7,"24 Festival Buns ","12 Sicilian Cassatelles ","Kek Lapis Sarawak ",10,"SB",""
"252","Henry_10_8",659,"Henry","Crab, Tomato & New Potato Tarte Tatin","5th","Chandelier Picnic Pie",8,"Savoury Tarte Tatin ","Moroccan Pie ","Vertical Pie ",10,"OUT",""
"253","Hermine_11_1",670,"Hermine","Chocolate & Orange Battenberg Cake","5th","Ode to Lupita",1,"Battenberg Cake ","6 Miniature Pineapple Upside Down Cakes ","Celebrity Hero Cake Bust ",11,"","Favorite"
"254","Hermine_11_2",682,"Hermine","Mango and Coconut Florentines","5th","Sakura Tea Set",2,"36 Chocolate Florentines ","12 Hand Shaped Coconut Macaroons ","3D Biscuit Table Setting ",11,"",""
"255","Hermine_11_3",693,"Hermine","My Favourite Flavours Soda Bread","7th","A Journey Back to France",3,"2 Soda Bread Loaves ","6 Rainbow coloured Bagels ","Large Bread Plaque ",11,"",""
"256","Hermine_11_4",703,"Hermine","Raspberry, White Chocolate & Pistachio Brownies","5th","Lemon & White Chocolate Cake",4,"18 Chocolate Brownies ","Chocolate Babka ","White Chocolate Celebration Cake ",11,"",""
"257","Hermine_11_5",712,"Hermine","Moroccan Tagine Pasties","2nd","Lime Confit and Lemon Meringue Tart",5,"8 Pasties ","3 Raspberry Éclairs    3 Salted Caramel Éclairs ","Caged Tart ",11,"","Favorite"
"258","Hermine_11_6",720,"Hermine","Chicken Nikuman Panda Buns","4th","Strawberry Cherry Blossom Cake",6,"8 Steamed Buns ","Matcha Crepe Cake ","Kawaii Cake ",11,"","Least Favorite"
"259","Hermine_11_7",727,"Hermine","Classic Quiches","1st","Holiday Ice Cream Cake",7,"8 Quiches ","6 Custard   Jam Finger Doughnuts ","Ice Cream Cake ",11,"SB",""
"260","Hermine_11_8",733,"Hermine","Passion Fruit Cheesecakes","3rd","Chocolate and Raspberry Mousse Jelly Cake",8,"12 Mini Cheesecakes ","2 Sussex Pond Puddings ","Jelly Art Design Cake ",11,"SB",""
